X,Y,OCC
1119528,3816217,0
534097,4474542,0
459564,4618737,0
703013,4080847,0
973200,4062811,0
671023,4471664,0
1183052,3708595,0
701427,4065649,0
475056,4267574,0
563519,4360458,0
821279,4009741,0
1104024,3872212,0
675254,4153509,0
441130,4591871,0
840231,3867344,0
809448,3922594,0
1178852,3909087,0
661747,4292600,0
1017042,3790876,0
773504,3897168,0
898855,4111967,0
483203,4345656,0
918207,4065143,0
562056,4491538,0
1055777,4060266,0
724666,4342543,0
1183261,3800506,0
810321,3879296,0
1206894,3844995,0
792685,3964352,0
1165886,3742854,0
918771,3969165,0
688278,4123419,0
813580,3916790,0
670308,4450920,0
936653,3862336,0
462939,4456446,0
1180540,3760385,0
667191,4626513,0
1259719,3662679,0
678383,4416888,0
782977,3945633,0
467500,4593790,0
1068971,3653699,0
1082031,3826134,0
793421,3889105,0
959709,3844718,0
1060634,4068037,0
1003753,3713919,0
974365,3746318,0
616329,4532663,0
484335,4445890,0
948769,3788408,0
622965,4411984,0
1124692,3626814,0
887856,4180909,0
725228,3990041,0
1077198,3797906,0
1069576,3797407,0
1065193,4044454,0
715552,3968135,0
850511,4213090,0
535281,4453057,0
588608,4561954,0
1157161,3967807,0
1019503,3906535,0
1086849,3772851,0
953558,4110886,0
459448,4617476,0
936984,3825159,0
954161,4144325,0
667127,4487453,0
1261055,3736590,0
662081,4596948,0
921911,4095177,0
902659,3869600,0
723102,4072875,0
935110,3832284,0
584095,4370050,0
745091,4179129,0
472307,4629606,0
566102,4422957,0
1102661,4035000,0
1021914,3975341,0
1146034,3922465,0
685022,4358668,0
887232,3886552,0
1041422,3781527,0
1267033,3855632,0
1179537,3788130,0
684136,4056321,0
430568,4609056,0
563994,4363122,0
1120623,3971810,0
439600,4510047,0
529000,4502301,0
586024,4119678,0
558485,4233999,0
1236356,3883294,0
685669,4058681,0
1208614,3903387,0
622814,4018582,0
424141,4594659,0
1200644,3777396,0
547233,4497848,0
539998,4478519,0
450678,4517281,0
671704,4334874,0
712835,4206386,0
895388,4068333,0
1036431,3672693,0
815586,3953888,0
450813,4485399,0
886617,3818325,0
948254,4098685,0
443644,4527259,0
1161696,3989966,0
1189511,3790447,0
814802,4236882,0
816278,4271148,0
1110002,3753554,0
679721,4314797,0
740364,4415709,0
