X,Y,OCC
737248,4287231,0
710973,4113498,0
653022,4082945,0
875842,4122147,0
689464,4029588,0
645111,4090877,0
850731,4039409,0
751557,4072482,0
950786,4134013,0
1046716,4029140,0
863633,4195758,0
504944,4242009,0
750646,4196021,0
590561,4144136,0
565916,4155462,0
596107,4026540,0
724984,3993299,0
746963,4302193,0
816953,4022149,0
618820,4028839,0
835110,4175458,0
810718,4079161,0
866042,4039038,0
1026404,3983186,0
717915,4063429,0
463135,4279166,0
745225,4095515,0
665485,3984669,0
519569,4277127,0
698556,4004605,0
852338,4208245,0
932600,3992046,0
870814,4226185,0
800880,4003492,0
776865,4250953,0
1057843,4003328,0
527654,4200453,0
693334,4197522,0
757785,4102899,0
782812,4229609,0
716418,4281756,0
804128,4254206,0
714085,4091454,0
703232,4154442,0
985320,4069627,0
865511,4206213,0
572306,4275261,0
1011751,3990949,0
597922,4248827,0
799083,4121407,0
663755,4256875,0
734400,4013112,0
591791,4131391,0
888213,4197281,0
872327,4016958,0
707400,4308696,0
923187,3990995,0
508853,4298193,0
715950,4281915,0
644611,4235513,0
980193,4049810,0
818973,4037107,0
862552,4059135,0
706324,4077655,0
572093,4283867,0
806635,4149794,0
560223,4243277,0
699517,4064524,0
849801,4032208,0
813393,4047473,0
722714,4304963,0
515305,4245868,0
634842,4159765,0
883217,4121348,0
636783,4187537,0
842881,3985200,0
1080515,3990840,0
719193,4175535,0
903062,4081358,0
859232,4091046,0
928694,3993982,0
724462,4224693,0
800803,4285763,0
681029,4157334,0
1057015,4042317,0
558968,4235786,0
594588,4224887,0
843236,4161292,0
610570,4131940,0
902080,4167142,0
956757,4117078,0
588349,4215220,0
768597,4182946,0
925296,4060113,0
860427,4088870,0
823378,4164892,0
579705,4270436,0
680156,3998574,0
684101,4212642,0
631342,4275206,0
903500,4194631,0
691601,3968366,0
887306,4208947,0
864338,4016275,0
900691,4003992,0
827109,4122420,0
746531,4106110,0
881681,4008700,0
528260,4212376,0
883228,4023546,0
839467,4102672,0
603835,4264760,0
735084,4119274,0
1147255,3992658,0
946956,4021707,0
865377,4030548,0
718739,4235904,0
621106,4062114,0
621451,4195253,0
490616,4250731,0
979422,4007924,0
1060091,4061571,0
702216,4112009,0
670600,4140687,0
673642,3963437,0
600989,4260880,0
625146,4200770,0
602715,4107437,0
1081300,3992507,0
555931,4228910,0
709423,4228264,0
763716,4048669,0
609571,4015756,0
1066598,4010479,0
907871,3986328,0
861150,4219692,0
749560,4306454,0
621888,4171052,0
983023,4030429,0
858041,4076825,0
844148,4112235,0
630090,4071864,0
652332,4012890,0
496350,4286331,0
783983,4132347,0
972209,3990373,0
760848,4223467,0
800654,4072613,0
763087,4218829,0
638922,4089868,0
817300,3985857,0
921855,4174004,0
618507,4014835,0
817268,4228438,0
658429,4196835,0
684346,4001804,0
835394,4063235,0
762558,4257334,0
555207,4203295,0
776076,4037565,0
797670,4209359,0
851735,4044922,0
820057,4220880,0
972383,4059389,0
698820,4081625,0
565628,4170241,0
713018,4107619,0
742285,3975979,0
803349,4149279,0
876519,4031652,0
648398,4179795,0
663647,4022773,0
607514,4285214,0
791640,4154669,0
832664,4156620,0
970432,4139422,0
647674,4194085,0
956552,3993622,0
989732,4099937,0
756840,4172806,0
695291,4044597,0
729399,4078110,0
762357,4114851,0
549700,4159276,0
938100,4127725,0
701782,4115270,0
728326,4082922,0
1078473,4016485,0
584960,4140598,0
903992,4119354,0
577890,4126523,0
666087,4128830,0
723168,4268659,0
958639,4064304,0
772398,4056171,0
760895,4034193,0
847888,3980019,0
556591,4226609,0
709915,4087094,0
934440,4074094,0
808564,4044325,0
673135,4127734,0
565771,4129770,0
756385,3981654,0
801086,4182931,0
658453,3993702,0
722021,4246549,0
895135,4009196,0
805210,4043897,0
792593,4007396,0
830628,4154519,0
661226,4187968,0
926263,3989779,0
873847,4221428,0
691770,4304204,0
760665,4058521,0
614104,4146858,0
922666,4173755,0
586700,4139096,0
662736,4163339,0
815159,4163882,0
670976,4116935,0
642034,4200383,0
683730,4182014,0
774493,4056948,0
602752,4170366,0
616298,4099912,0
565734,4115999,0
672648,4140569,0
980994,4025619,0
825622,4128165,0
590128,4035112,0
1041482,4042010,0
616711,4212989,0
918762,4151078,0
1081488,3990532,0
871278,4051655,0
991516,4086936,0
857236,4171830,0
916185,4117907,0
706907,3996844,0
902377,4001922,0
574537,4201503,0
682868,4070211,0
818837,4197682,0
1059380,3996107,0
738568,4012663,0
823620,4059172,0
787951,4068905,0
793464,4185238,0
1094165,3986015,0
741661,4293534,0
662249,3983358,0
803491,4097019,0
691949,4057925,0
626907,4205128,0
626289,3995401,0
906599,4002145,0
695916,4274678,0
626084,4149358,0
744636,3996793,0
739308,4052499,0
881869,4210182,0
691671,4053178,0
531310,4267694,0
852794,4147190,0
766815,4200873,0
891929,4017521,0
639693,3992072,0
934306,4093856,0
765256,4012976,0
650828,4222932,0
679518,4062049,0
918695,4184133,0
1137011,4009213,0
641883,4012374,0
858432,4000135,0
960044,4034529,0
650138,4259099,0
838724,4226634,0
852741,4063735,0
596809,4049610,0
810059,4111447,0
975604,4062869,0
679952,4121104,0
601726,4130505,0
777976,4077223,0
982565,4071802,0
731614,4148791,0
825033,4178040,0
547859,4135248,0
1072489,3995755,0
856790,4236038,0
656155,4174276,0
825171,4252398,0
633355,4069455,0
1045934,4015377,0
666286,4248005,0
817775,4105066,0
627695,4265124,0
1009567,4098274,0
833569,4109009,0
645896,4236362,0
816703,4196610,0
959926,4050615,0
625284,4010119,0
866678,4151367,0
848904,4146465,0
998745,4045245,0
1005037,4079325,0
549467,4165965,0
799605,4271807,0
1095173,4023953,0
668488,4098361,0
714308,4207013,0
672227,4023868,0
775324,4255052,0
773153,4029948,0
928686,4130216,0
1003107,3979351,0
718476,4186874,0
799907,4101910,0
639886,4043870,0
671634,4246541,0
566267,4249740,0
906677,4024703,0
1104241,3993562,0
742799,4255823,0
646780,4122734,0
759307,4279689,0
648336,4197174,0
588999,4147657,0
1035399,4085347,0
1023523,3992657,0
960236,4087064,0
817485,4186361,0
737727,4178776,0
778421,4299805,0
796274,4111102,0
880970,4028770,0
635321,3996773,0
797630,4124414,0
571119,4255888,0
829348,4054718,0
642969,3995548,0
920804,4017214,0
648878,3973986,0
922907,4121040,0
761344,4179318,0
606574,4211097,0
723253,4006393,0
545714,4228528,0
727943,4096607,0
782029,4228111,0
624884,4035480,0
955797,4058880,0
774006,4181269,0
751548,4077793,0
653614,4067945,0
915953,3983577,0
1025694,4079239,0
712850,4268990,0
656961,3974090,0
703354,4193508,0
691170,4068081,0
808285,4075503,0
752586,4310682,0
978881,4001508,0
843073,4141472,0
827472,4261073,0
1098803,4003626,0
971066,4026357,0
675236,3989811,0
794274,4096942,0
875586,4220257,0
765981,4300907,0
763240,4204555,0
607844,4113418,0
726095,4108034,0
1062182,4041713,0
618937,4234154,0
1006267,4055826,0
910090,4173032,0
952290,4102811,0
898869,3980187,0
522986,4200774,0
791344,4129334,0
698970,3965499,0
563359,4222050,0
837942,4071017,0
1034527,4077286,0
961020,4091192,0
906988,4110720,0
590492,4077273,0
744698,3976669,0
792686,4007728,0
1109871,3985498,0
493505,4261947,0
796085,4128802,0
868871,4088757,0
722142,4015652,0
589846,4271574,0
623548,3984550,0
555523,4114556,0
754768,4220231,0
674769,4007018,0
895840,4208836,0
666974,4118592,0
832012,4057488,0
651850,4204710,0
636809,4105766,0
717049,4189567,0
775591,4149201,0
726075,4177670,0
575070,4107757,0
847677,4036898,0
801151,4001741,0
725449,3975624,0
864371,3986787,0
1004338,4052935,0
748289,4324867,0
867576,3973363,0
898856,4075863,0
691401,4135219,0
571738,4124126,0
592727,4105402,0
868974,4141562,0
742460,4146194,0
580033,4172361,0
605554,4231150,0
636361,4067870,0
942522,3981066,0
979586,4105807,0
607333,4188426,0
575759,4166075,0
755784,4031698,0
779333,4048720,0
506888,4268783,0
778122,4164025,0
1055757,3988869,0
642190,4048397,0
552392,4164203,0
739627,4237325,0
850513,4103169,0
848434,4059283,0
662396,4199307,0
799723,4119247,0
638611,4170044,0
787392,4095057,0
905608,4114666,0
775846,4175890,0
727354,4064064,0
612821,4056469,0
1106182,4034979,0
562778,4109915,0
580329,4157883,0
661703,3975156,0
1063981,4010185,0
942143,3977275,0
725661,4277712,0
961523,4140398,0
752689,4075313,0
778871,4085556,0
717587,4188395,0
543674,4228516,0
909619,4008972,0
677210,4192592,0
816660,3974276,0
1050406,4069449,0
767479,4214974,0
663319,4109117,0
780202,4270758,0
696276,4108404,0
619086,4223839,0
601459,4053836,0
690037,4154714,0
755535,4066639,0
657833,4242337,0
578188,4137667,0
729039,3998657,0
838966,4133075,0
1000046,4102108,0
905860,4193690,0
655533,4232344,0
1163756,3987762,0
974122,3987756,0
602280,4131353,0
518064,4247703,0
893509,4195922,0
908987,3977069,0
935559,4036781,0
886183,4000940,0
721056,4119582,0
951095,4153823,0
808463,4111874,0
606883,4205051,0
585653,4279328,0
727561,4025742,0
588661,4089596,0
933427,4024145,0
804808,4233493,0
819141,4043360,0
757311,4327816,0
676054,4254796,0
490777,4275158,0
1033756,4058337,0
1000031,4063729,0
743417,3997577,0
816462,3978714,0
733930,4315470,0
943697,3978834,0
782330,3972644,0
959391,3990157,0
542809,4278908,0
915001,4139602,0
710579,4209247,0
835915,4134781,0
497948,4254774,0
865274,4066056,0
827611,4257737,0
727262,4155179,0
747116,4038659,0
497097,4275005,0
770655,4202285,0
839702,4042117,0
907329,4112669,0
1095130,4023688,0
736877,4026616,0
995777,4031411,0
600636,4167012,0
994762,3976101,0
744025,4168021,0
629677,4263385,0
897990,4109841,0
686298,4251244,0
579745,4146627,0
697937,4091863,0
636061,4038094,0
694733,4223007,0
561260,4293304,0
883113,4186257,0
617451,4242256,0
723819,4191348,0
952506,4050729,0
716284,4232658,0
1087362,4021539,0
846884,4195830,0
662488,4259551,0
826115,4018670,0
710509,4175404,0
641462,4108486,0
604578,4033467,0
955466,3995083,0
595659,4098904,0
701270,4210513,0
688483,4001869,0
787424,4273217,0
1052361,4022257,0
701746,4105646,0
754525,4190019,0
1000792,3993345,0
683886,4191503,0
916001,4059740,0
909747,4128840,0
805688,4205247,0
1023321,4048347,0
987154,4064558,0
723242,4144830,0
579379,4197380,0
651669,4216230,0
704015,4120812,0
851532,4100533,0
950659,4068008,0
619385,4281947,0
638087,4233464,0
881231,4189364,0
674294,4283033,0
692923,4120006,0
963164,4069762,0
587643,4273599,0
666799,4292494,0
653747,4255995,0
498327,4280242,0
